Pharm~Hosp|ATC1|ATC2|ATC3|ATC4|Crp|MIDAS~Crp|Mnf|Prd|Str|Pck|NFC~1|NFC~2|NFC~3|RX/OTC|Launch~Year|Launch~Date|DDD~Fact|DDD~Unit|Mono~Combi|MOL|[DCKey 1]|[Latest MNF Price]|[Latest Price]|EURO Sales Period|EURO Sales Value|USD Sales Period|USD Sales Value|LC Sales Period|LC Sales Value|Units Period|Units Value|DOT Period|DOT Value
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Sep/02|0|USD Sales Sep/02|0|LC Sales Sep/02|0|Units Sep/02|0|DOT Sep/02|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Oct/02|0|USD Sales Oct/02|0|LC Sales Oct/02|0|Units Oct/02|0|DOT Oct/02|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Nov/02|0|USD Sales Nov/02|0|LC Sales Nov/02|0|Units Nov/02|0|DOT Nov/02|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Dec/02|0|USD Sales Dec/02|0|LC Sales Dec/02|0|Units Dec/02|0|DOT Dec/02|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Jan/03|0|USD Sales Jan/03|0|LC Sales Jan/03|0|Units Jan/03|0|DOT Jan/03|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Feb/03|0|USD Sales Feb/03|0|LC Sales Feb/03|0|Units Feb/03|0|DOT Feb/03|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Mar/03|0|USD Sales Mar/03|0|LC Sales Mar/03|0|Units Mar/03|0|DOT Mar/03|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Apr/03|0|USD Sales Apr/03|0|LC Sales Apr/03|0|Units Apr/03|0|DOT Apr/03|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales May/03|0|USD Sales May/03|0|LC Sales May/03|0|Units May/03|0|DOT May/03|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Jun/03|0|USD Sales Jun/03|0|LC Sales Jun/03|0|Units Jun/03|0|DOT Jun/03|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Jul/03|0|USD Sales Jul/03|0|LC Sales Jul/03|0|Units Jul/03|0|DOT Jul/03|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Aug/03|0|USD Sales Aug/03|0|LC Sales Aug/03|0|Units Aug/03|0|DOT Aug/03|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Sep/03|0|USD Sales Sep/03|0|LC Sales Sep/03|0|Units Sep/03|0|DOT Sep/03|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Oct/03|0|USD Sales Oct/03|0|LC Sales Oct/03|0|Units Oct/03|0|DOT Oct/03|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Nov/03|0|USD Sales Nov/03|0|LC Sales Nov/03|0|Units Nov/03|0|DOT Nov/03|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Dec/03|0|USD Sales Dec/03|0|LC Sales Dec/03|0|Units Dec/03|0|DOT Dec/03|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Jan/04|0|USD Sales Jan/04|0|LC Sales Jan/04|0|Units Jan/04|0|DOT Jan/04|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Feb/04|0|USD Sales Feb/04|0|LC Sales Feb/04|0|Units Feb/04|0|DOT Feb/04|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Mar/04|0|USD Sales Mar/04|0|LC Sales Mar/04|0|Units Mar/04|0|DOT Mar/04|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Apr/04|0|USD Sales Apr/04|0|LC Sales Apr/04|0|Units Apr/04|0|DOT Apr/04|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales May/04|0|USD Sales May/04|0|LC Sales May/04|0|Units May/04|0|DOT May/04|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Jun/04|0|USD Sales Jun/04|0|LC Sales Jun/04|0|Units Jun/04|0|DOT Jun/04|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Jul/04|0|USD Sales Jul/04|0|LC Sales Jul/04|0|Units Jul/04|0|DOT Jul/04|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Aug/04|0|USD Sales Aug/04|0|LC Sales Aug/04|0|Units Aug/04|0|DOT Aug/04|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Sep/04|0|USD Sales Sep/04|0|LC Sales Sep/04|0|Units Sep/04|0|DOT Sep/04|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Oct/04|0|USD Sales Oct/04|0|LC Sales Oct/04|0|Units Oct/04|0|DOT Oct/04|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Nov/04|0|USD Sales Nov/04|0|LC Sales Nov/04|0|Units Nov/04|0|DOT Nov/04|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Dec/04|0|USD Sales Dec/04|0|LC Sales Dec/04|0|Units Dec/04|0|DOT Dec/04|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Jan/05|0|USD Sales Jan/05|0|LC Sales Jan/05|0|Units Jan/05|0|DOT Jan/05|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Feb/05|0|USD Sales Feb/05|0|LC Sales Feb/05|0|Units Feb/05|0|DOT Feb/05|0
HOSPITAL MARKET|A0 ALIMENTARY T.& METABOLISM|A01 STOMATOLOGICALS|A01A STOMATOLOGICALS|A01A0 STOMATOLOGICALS|BRISTOL MYERS SQB*|BRISTOL-MYERS SQB.|BRISTOL MYERS SQUI|KENALOG ORABASE|00.1%|PASTE .1 % 1 5 G|K ORAL TOPICAL|KS ORAL TOP OINTMENTS|KSB ORAL TOP PASTES N O S|RX STATUS UNKNOWN|1973|1973/12|0.00|0.00|MONO|TRIAMCINOLONE ACETONIDE|1|52.6|71.2|EURO Sales Mar/05|0|USD Sales Mar/05|0|LC Sales Mar/05|0|Units Mar/05|0|DOT Mar/05|0
